17316	2
2	890	8694
2	891	8667
2	891	8694
2	892	8667
2	892	8694
2	893	8667
2	893	8694
2	894	8667
2	894	8694
2	895	8667
2	895	8694
2	896	8667
2	896	8694
2	897	8667
2	897	8694
2	898	8667
2	898	8694
2	899	8667
2	899	8694
2	900	8667
2	900	8694
2	901	8667
2	901	8694
2	902	8667
2	902	8694
2	903	8667
2	903	8694
2	904	8667
2	904	8694
2	905	8667
2	905	8694
2	906	8667
2	906	8694
2	907	8667
2	907	8694
2	908	8667
2	908	8694
2	909	8667
2	909	8694
2	910	8667
2	910	8694
2	911	8667
2	911	8694
2	912	8667
2	912	8694
2	913	8667
2	913	8694
2	914	8667
2	914	8694
2	915	8667
2	915	8694
2	916	8667
2	916	8694
2	917	8667
2	917	8694
2	918	8667
2	918	8694
2	919	8667
2	919	8694
2	920	8667
2	920	8694
2	921	8667
2	921	8694
2	922	8667
2	922	8694
2	923	8667
2	923	8694
2	924	8667
2	924	8694
2	925	8667
2	925	8694
2	926	8667
2	926	8694
2	927	8667
2	927	8694
2	928	8667
2	928	8694
2	929	8667
2	929	8694
2	930	8667
2	930	8694
2	931	8667
2	931	8694
2	932	8667
2	932	8694
2	933	8667
2	933	8694
2	934	8667
2	934	8694
2	935	8672
2	935	8697
2	936	8672
2	936	8697
2	937	8672
2	937	8697
2	938	8672
2	938	8697
2	939	8672
2	939	8697
2	940	8672
2	940	8697
2	941	8672
2	941	8697
2	942	8672
2	942	8697
2	943	8672
2	943	8697
2	944	8672
2	944	8697
2	945	8672
2	945	8697
2	946	8672
2	946	8697
2	947	8672
2	947	8697
2	948	8672
2	948	8697
2	949	8672
2	949	8697
2	950	8672
2	950	8697
2	951	8672
2	951	8697
2	952	8672
2	952	8697
2	953	8672
2	953	8697
2	954	8672
2	954	8697
2	955	8672
2	955	8697
2	956	8679
2	956	8695
2	957	8679
2	957	8695
2	958	8679
2	958	8695
2	959	8679
2	959	8695
2	960	8708
2	960	8768
2	961	8708
2	961	8768
2	962	8708
2	962	8768
2	963	8708
2	963	8768
2	964	8708
2	964	8768
2	965	8708
2	965	8768
2	966	8708
2	966	8768
2	967	8708
2	967	8768
2	968	8708
2	968	8768
2	969	8708
2	969	8768
2	970	8681
2	970	8714
2	971	8681
2	971	8714
2	972	8681
2	972	8714
2	973	8681
2	973	8714
2	974	8681
2	974	8714
2	975	8681
2	975	8714
2	976	8681
2	976	8714
2	977	8681
2	977	8714
2	978	8681
2	978	8714
2	979	8681
2	979	8714
2	980	8681
2	980	8714
2	981	8681
2	981	8714
2	982	8681
2	982	8714
2	983	8681
2	983	8714
2	984	8681
2	984	8714
2	985	8681
2	985	8714
2	986	8704
2	986	8767
2	987	8704
2	987	8767
2	988	8704
2	988	8767
2	989	8704
2	989	8767
2	990	8704
2	990	8767
2	991	8704
2	991	8767
2	992	8704
2	992	8767
2	993	8704
2	993	8767
2	994	8704
2	994	8767
2	995	8704
2	995	8767
2	996	8680
2	996	8687
2	997	8680
2	997	8687
2	998	8680
